[0.00 - 2.00]  There we go. Okay.
[332.00 - 333.00]  Okay.
[333.00 - 339.00]  Up top is the widget. I don't know if you, I don't have a touch screen.
[339.00 - 340.00]  Do you mind if I move your mouse?
[340.00 - 341.00]  Please, please, please.
[341.00 - 347.00]  So this widget is like always in this corner and it's always able to be turned on or off.
[347.00 - 353.00]  So this is an awesome tool. And I have the AI here, the AI is named a troubadour.
[353.00 - 355.00]  And so you can chat with it.
[355.00 - 361.00]  When you log in, it has access to all of your data for where you're located in the curriculum
[361.00 - 365.00]  and I have it set up to help structure out videos.
[365.00 - 367.00]  So we'll go through that in a bit.
[367.00 - 371.00]  But the widget is cool because it has your song.
[371.00 - 376.00]  And then when you click on the click button, it has a metronome.
[376.00 - 381.00]  So right from anywhere, anywhere within this app, you have access to a metronome,
[381.00 - 385.00]  along with ambient music and an AI chat for help.
[385.00 - 388.00]  And then I have the little help guide.
[388.00 - 392.00]  And so this is like all of the basic stuff on how it works.
[392.00 - 398.00]  The vintage, verticile engine, vertic scale, all that stuff.
[398.00 - 401.00]  And sorry, the pollen has got up my nose and I have allergies.
[401.00 - 405.00]  So my voice is so like, I mean, I'm actually complete basket case.
[405.00 - 407.00]  I had to do like you're getting it.
[407.00 - 408.00]  So I totally understand.
[408.00 - 415.00]  And this took a long time and is a very, it's a very, the, the pro is thing about it though,
[415.00 - 418.00]  is it is just one click away from being French or English.
[418.00 - 419.00]  It's incredible.
[419.00 - 422.00]  Like boom, all French.
[422.00 - 423.00]  Everything is in French.
[423.00 - 424.00]  Yes.
[424.00 - 425.00]  Yes.
[425.00 - 426.00]  Oh, that's cool, isn't it?
[426.00 - 427.00]  Oh my God.
[427.00 - 429.00]  There's a lot of good art in here.
[429.00 - 432.00]  I'm going to tell you about Alex Gray, but later.
[432.00 - 435.00]  And then some whole other.
[435.00 - 438.00]  So I highlighted it instead of clicking back.
[438.00 - 439.00]  Okay.
[439.00 - 442.00]  So in English, so the widget has all that stuff.
[442.00 - 444.00]  It's always in that corner.
[444.00 - 451.00]  We, this art, the mathematical spirals of three are is part of the Pythagorean stuff.
[451.00 - 454.00]  So this is barely used to paint spirals.
[454.00 - 456.00]  I love spirals.
[456.00 - 458.00]  Jess paints spirals all the time.
[458.00 - 459.00]  Really?
[459.00 - 460.00]  Yes.
[460.00 - 462.00]  Especially when she's on her special medicine.
[462.00 - 463.00]  I get a giant.
[463.00 - 468.00]  It's, we had some, oh well.
[468.00 - 469.00]  Yeah.
[469.00 - 470.00]  We'll be better now.
[470.00 - 471.00]  Okay.
[471.00 - 474.00]  I get a giant magenta in green spirals that I painted.
[474.00 - 475.00]  Yeah.
[475.00 - 476.00]  I've had it for like 30 years.
[476.00 - 477.00]  I keep carrying it.
[477.00 - 483.00]  The color combos add to like the speed at which you understand the spiral.
[483.00 - 489.00]  You glue them in fan motors and paint mat what, and people would lose their sense of balance.
[489.00 - 490.00]  Even if people were not strong.
[490.00 - 491.00]  And it's static.
[491.00 - 492.00]  It's static.
[492.00 - 496.00]  It gives you a sense of speed and nobody would compensate that I had to put a couch with
[496.00 - 498.00]  pillows because they would fall for the rest of them.
[498.00 - 499.00]  Wow.
[499.00 - 502.00]  And then, and then we trigger retinal tension.
[502.00 - 507.00]  So, so I would have like a black and yellow orange and blue.
[507.00 - 514.00]  So the tension of the eyes you'd start hallucinating and have almost this LSD side effects.
[514.00 - 517.00]  Psychedelic type experience.
[517.00 - 520.00]  Allotropic breathing is something that's very interesting.
[520.00 - 527.00]  So, there's a book called Psychonaut and it's about a guy who is a psychologist and explores
[527.00 - 533.76]  deep trauma from the lens of holotropic breathing instead of psychedelics because psychedelics
[533.76 - 536.00]  were illegal and he wanted to pursue his research.
[536.00 - 538.00]  So we did it through just breathing.
[538.00 - 539.00]  He didn't just breathe.
[539.00 - 540.00]  He left.
[540.00 - 541.00]  It's changed my life man.
[541.00 - 542.00]  Yeah, it is amazing.
[542.00 - 543.00]  I love doing that too.
[543.00 - 546.00]  I'm actually going to start doing that in the morning again with my wife.
[546.00 - 548.00]  It's better than going for a walk.
[548.00 - 550.00]  You know, it's more focused.
[550.00 - 552.00]  Anyways, so that's the widget.
[552.00 - 559.00]  So the song is the sect, the story.
[559.00 - 560.00]  The curriculum.
[560.00 - 561.00]  The curriculum.
[561.00 - 568.44]  The song is all of the curriculum stuff which is really like the whole course set up in a
[568.44 - 570.00]  very interesting way.
[571.00 - 576.00]  And then the guitar, I changed a bunch so that it's easier.
[576.00 - 583.00]  So when you click on it, you have, and all of this is usable, like a breathing session.
[583.00 - 584.00]  Oops.
[584.00 - 590.00]  You can begin and it'll count through breathing, which is fun.
[590.00 - 592.00]  Does it just grab breathing?
[592.00 - 593.00]  Yep.
[593.00 - 594.00]  No, this works.
[594.00 - 595.00]  Okay.
[595.00 - 598.00]  I don't have the back button.
[598.00 - 602.00]  Each one of these is a different tool you can click on instead of having like a whole fret
[602.00 - 604.00]  bar, it just has all these different tools.
[604.00 - 606.00]  Uh, those numbers?
[606.00 - 607.00]  Yep.
[607.00 - 608.00]  Mm-hmm.
[608.00 - 609.00]  So here's one.
[609.00 - 614.00]  If you click on number two, it's a practice timer for setting, setting your practice.
[614.00 - 615.00]  Okay.
[615.00 - 621.00]  And so each one of these tools will be used at different times because there's a, oops, I'm
[621.00 - 624.00]  not used to Mac, there's a timer.
[625.00 - 628.00]  Oh, there's a workbook that goes with it in the other section.
[628.00 - 630.00]  But here are all the tools.
[630.00 - 631.00]  Oops.
[631.00 - 632.00]  Oops.
[632.00 - 633.00]  There.
[633.00 - 637.00]  If you click on that, they pop up down there.
[637.00 - 641.00]  And instead of seeing the buttons, you can actually see bigger buttons with labels.
[641.00 - 647.00]  So here's the 12 tools and you end up getting introduced to each one of those because they
[647.00 - 649.00]  all do different things.
[649.00 - 652.00]  Like here's a fret, a play a cool guitar.
[653.00 - 654.00]  Is that cool?
[654.00 - 656.00]  Do do do do do.
[656.00 - 658.00]  So it's for the scale.
[658.00 - 661.00]  You can put in all your stuff.
[661.00 - 666.00]  Um, so each one of these tools can be used at a different time in the workbook section.
[666.00 - 672.00]  Um, so that is after the player section, the workbooks right here.
[672.00 - 678.00]  So the player, this is what you really will use a lot and it's like your mentorship portal.
[679.00 - 685.72]  So where you're going to make money is, um, like reviewing async videos because you can
[685.72 - 691.56]  set your own time, you know, um, and you can turn that option and payment system on or
[691.56 - 696.12]  off based on whether you're going on vacation and if you have time and to have it worked
[696.12 - 698.64]  into like a calendar system.
[698.64 - 705.24]  So you can see, um, so people can see when you're available, if they can or can't get
[705.24 - 711.28]  services from you right from your website base and you can work with the AI to update
[711.28 - 714.56]  that without having to do a lot of work.
[714.56 - 718.56]  So like a guy to business plan.
[718.56 - 721.40]  So this is the video stuff.
[721.40 - 726.00]  The cool async video is a guided 15 minute session.
[726.00 - 730.96]  So when you click on it, it tells you what you're going to go through.
[730.96 - 734.60]  There's a two minute breathing gate where you do a breathing exercise.
[734.60 - 737.04]  You will literally just sit and watch them breathe.
[737.04 - 741.00]  And that's a perfect time for you to be like, wow, that's interesting.
[741.00 - 743.40]  I like your shirt choice.
[743.40 - 747.88]  You know, you look definitely look like an interesting artist just to kind of get your
[747.88 - 751.60]  first impression while they're settling down and then warm up.
[751.60 - 753.52]  You can watch them do their warm up.
[753.52 - 755.96]  You can watch them do their practice session.
[755.96 - 758.44]  Watch them do a free play for one minute.
[758.44 - 763.88]  And then the emotional state, the last 30 seconds, they just talk like, Hey, I feel like playing
[763.88 - 768.48]  the guitar is a lot of fun, but I get discouraged or whatever.
[768.48 - 772.72]  And then I would be able to press start.
[772.72 - 779.40]  It would on my phone, I could just set it up on my stand and press start.
[779.40 - 784.12]  And it would automatically start recording and have slides that say what I'm doing in
[784.12 - 785.84]  each phase.
[785.84 - 789.80]  So it'll have a two minute timer with a slide that says breathing.
[789.80 - 796.20]  So while while it's open, I can go through it, that makes it easier for them to commit
[796.20 - 797.88]  to doing a 15 minute video.
[797.88 - 799.72]  It's already structured out.
[799.72 - 800.72]  Right.
[800.72 - 801.72]  Right.
[801.72 - 804.28]  So that's in there, but you can't do it unless you're logged in.
[804.28 - 806.04]  I think I'm logged in.
[806.04 - 809.88]  But that's handy for you because it also structures your response.
[809.88 - 815.76]  Like you can get used to responding in a flow, you know, and you can have batches of students.
[815.76 - 820.76]  You could drop the price if you wanted to change it or something, but it's like 45
[820.76 - 825.76]  minutes for 15 minutes of you just watching their video and talking to them.
[825.76 - 827.88]  It records that and sends it back to them.
[827.88 - 833.16]  So that's all you have to do is watch this 15 minute video and talk to them about them
[833.16 - 838.56]  during that video doing the video and you get paid 45 bucks for that transaction.
[838.56 - 840.88]  Minus taxes if you want to clean up.
[840.88 - 845.36]  I tried to set it up as a nonprofit, but they're like, who who's going to fund what
[845.36 - 851.16]  grant.
[851.16 - 857.52]  So there's the $5 dollar audio and you can just text back.
[857.52 - 860.36]  So that's a good one because.
[860.36 - 867.96]  Well, so yeah, yeah, a $5 text back just to introduce yourself to someone if they're like,
[867.96 - 870.92]  Hey, I just wanted to play this for you.
[870.92 - 873.36]  And then they played a little section and they recorded it.
[873.36 - 879.28]  All you have to do is text back to their response and they will pay you five bucks
[879.28 - 880.28]  for that recording.
[880.28 - 885.24]  So if we do like a three minute recording or something, you get five bucks every three
[885.24 - 888.28]  minutes that you watch that.
[888.28 - 894.24]  So ways to make money by using the internet and still being personal and responsive just
[894.24 - 898.68]  over time instead of immediately.
[898.68 - 900.68]  And then here's your library.
[901.32 - 904.56]  Oh, here's the submissions.
[904.56 - 906.00]  They all would pop up here.
[906.00 - 911.32]  If I had any recordings, they would show up here and in my Google share drive and then
[911.32 - 914.68]  your recordings.
[914.68 - 917.40]  These are what I would like for you to do.
[917.40 - 921.16]  Like we can set this up, but three different videos.
[921.16 - 930.24]  One for SH, H E A R L. One for PLEAN, which is like playing and singing, I think.
[930.24 - 935.92]  And then one for the F U. Is that your, do I get that right?
[935.92 - 937.84]  Are those acronyms yours?
[937.84 - 938.84]  Yeah.
[938.84 - 939.84]  Okay.
[939.84 - 946.00]  I mean, they might surely is like a see here feel.
[946.00 - 947.00]  Right.
[947.00 - 948.00]  So those are important.
[948.00 - 950.68]  See your feel playing is play and sing.
[950.68 - 952.24]  Seeing what you play play what you sing.
[952.24 - 955.76]  So it becomes one thing.
[955.76 - 962.80]  And the highlight behind this is that you sing through your instrument.
[962.80 - 967.80]  There's a deal, you know, there's no obstacle.
[967.80 - 970.88]  The idea is to make an emotional connection with the instrument.
[970.88 - 980.48]  Also one of the consequences of that is that you be able to play what you hear.
[980.48 - 982.48]  Right.
[982.48 - 989.56]  And so what I think we should do and can do, we can make three, one minute and 30 second
[989.56 - 996.72]  shorts from one minute to one minute and 30 second where you just describe it.
[996.72 - 1000.36]  And we can use that for free marketing on YouTube.
[1000.36 - 1002.12]  We post shorts.
[1002.12 - 1004.28]  We publish them on YouTube for free.
[1004.28 - 1008.52]  And we make sure that they reference your website and have your website in the comments.
[1008.52 - 1009.52]  So it's 90 seconds.
[1009.52 - 1015.40]  So 90 seconds or less.
[1015.40 - 1017.36]  And that is a YouTube short.
[1017.36 - 1025.16]  And then we can do one long video if we want, but having short videos for easy marketing,
[1025.16 - 1027.64]  like that's easy.
[1027.64 - 1028.64]  That's nice.
[1028.64 - 1029.88]  The breath before the note.
[1029.88 - 1032.40]  How did you get that?
[1032.40 - 1033.40]  It's all your stuff.
[1033.40 - 1034.40]  Like I got a mind.
[1035.40 - 1036.40]  I know.
[1036.40 - 1037.40]  So I love that.
[1037.40 - 1046.56]  And then I can also add in to this library.
[1046.56 - 1048.76]  So that's virtual library.
[1048.76 - 1050.48]  This is going to be your library.
[1050.48 - 1054.52]  And these are the placeholders I have for the videos we need to make.
[1054.52 - 1059.12]  And then we can add in other videos.
[1059.12 - 1062.12]  And then playing without rule.
[1062.12 - 1063.62]  Oh.
[1063.62 - 1065.22]  Playing is playing and singing.
[1065.22 - 1066.22]  Yeah.
[1066.22 - 1067.54]  Playing without rule.
[1067.54 - 1069.22]  Playing without rules.
[1069.22 - 1073.02]  Improvise as a conversation, not a test.
[1073.02 - 1075.02]  F heal is.
[1075.02 - 1077.86]  Feel here.
[1077.86 - 1080.46]  I have a script on it.
[1080.46 - 1081.46]  Let me see.
[1081.46 - 1082.46]  Playing without rules.
[1082.46 - 1083.46]  Really here.
[1083.46 - 1085.02]  Yeah.
[1085.02 - 1086.30]  Feel here.
[1086.30 - 1088.86]  So it's emotional and imagining, right?
[1088.86 - 1089.86]  So play without rule.
[1089.86 - 1091.06]  That's very interesting.
[1091.06 - 1098.46]  So you might have gotten that from a harmony course that I remember timing.
[1098.46 - 1108.38]  My favorite thing about musical rules is the sound they make when they break.
[1108.38 - 1110.34]  Perfect.
[1110.34 - 1111.66]  That's a good one.
[1111.66 - 1118.42]  So because my father was an anarchist, humanist, he said, Prashan, you have to learn to obey,
[1118.42 - 1119.58]  to better disobey.
[1120.58 - 1122.62]  That's a good way to put it.
[1122.62 - 1125.02]  It took me years to find out where you're moving.
[1125.02 - 1126.02]  Yeah.
[1126.02 - 1130.26]  It's like saying it's better to ask forgiveness than permission.
[1130.26 - 1137.06]  In a way, figure out the rules and then do what you need to do, deal with the consequences.
[1137.06 - 1139.94]  Well, we're talking about art.
[1139.94 - 1140.94]  Yes, we are.
[1140.94 - 1141.94]  And rules of music.
[1141.94 - 1142.94]  No, no, no.
[1142.94 - 1143.94]  No, no.
[1143.94 - 1144.94]  It's me.
[1144.94 - 1145.94]  It's me.
[1145.94 - 1149.94]  So there's no bleeding involved.
[1149.94 - 1152.94]  It's not violent.
[1152.94 - 1155.54]  It's not violent.
[1155.54 - 1157.42]  So yeah.
[1157.42 - 1163.66]  So I have data already set up for these so that I already have something that we can easily
[1163.66 - 1164.66]  script out.
[1164.66 - 1167.46]  It will be very easy to make videos.
[1167.46 - 1171.66]  But today I just wanted to go through the full app and introduce everything to see if
[1171.66 - 1173.14]  anything doesn't feel good.
[1173.14 - 1181.62]  And so let me go ahead and after I've clicked on this last one, your timeline, this is
[1181.62 - 1184.18]  a timeline for the user.
[1184.18 - 1186.54]  Oh, nice things.
[1186.54 - 1190.34]  So that's the player mode.
[1190.34 - 1197.22]  So the guitar is all the tools and workbook stuff, workbook tools.
[1197.22 - 1200.58]  The player is the mentorship wordle.
[1201.58 - 1208.42]  And the playbook, excuse me, once they do a login, they create a character and they have
[1208.42 - 1209.42]  a workbook.
[1209.42 - 1212.02]  Here's some quests.
[1212.02 - 1219.62]  So as you see, there are 12 quests because you have to do the 12.
[1219.62 - 1222.66]  So I have this set up as a, it's called a DAG.
[1222.66 - 1223.66]  A DAG.
[1223.66 - 1230.50]  It's like a database augment receiver where instead of a student going through a database,
[1230.50 - 1235.26]  through a linear line, it has like a whole graph of directions that students can go
[1235.26 - 1236.46]  in.
[1236.46 - 1243.46]  And so if a student is in this phase, they're chatting with the AI and the AI is like, you
[1243.46 - 1247.14]  know what, the, what your stuff, the stuff you're saying says that you're in your test
[1247.14 - 1249.38]  allies and enemies phase.
[1249.38 - 1250.90]  You should look at that content.
[1250.90 - 1256.30]  And so you pull up the fret five and the story.
[1257.30 - 1261.98]  Because it all matches up and you can go through that.
[1261.98 - 1265.66]  You can swipe to read it like a phone.
[1265.66 - 1274.86]  You can just swipe it to go through and it has all the imagery in there.
[1274.86 - 1278.62]  And you can slide it up and down.
[1278.62 - 1284.14]  So each slide has a different each slide.
[1284.14 - 1285.86]  And this is all for fret five.
[1285.86 - 1291.10]  All of these slides are all just for fret five and they're all framed out for fret five.
[1291.10 - 1297.26]  And the fret five has a message and it has, yeah, it all has the rules, the geometry of
[1297.26 - 1298.26]  sound.
[1298.26 - 1299.26]  Yes, look at that art.
[1299.26 - 1300.26]  Isn't that powerful?
[1300.26 - 1301.26]  It's beautiful.
[1301.26 - 1302.42]  Yeah.
[1302.42 - 1308.42]  And so you can zoom in if you need to, you can scroll.
[1308.42 - 1315.82]  And but it's set up as again, a gain, a Pythagorean instruction with math and stuff, standard
[1315.82 - 1317.78]  tuning, you know.
[1317.78 - 1328.38]  So it actually goes through real music information and that actual part of the human journey.
[1328.38 - 1331.10]  So I was just thinking about this.
[1331.10 - 1342.98]  See one of the things that find really important is when you learn a basic interval, for example,
[1342.98 - 1346.58]  which is two notes.
[1346.58 - 1349.86]  Stop and listen to the relationship between those two notes.
[1349.86 - 1357.66]  So I'm very, very interested in helping people create the habit of allowing impressions to
[1357.66 - 1360.98]  be made between these two notes.
[1360.98 - 1361.98]  Okay.
[1361.98 - 1362.98]  Okay.
[1362.98 - 1363.98]  That's the major second.
[1363.98 - 1364.98]  What's the story?
[1364.98 - 1365.98]  What's the feeling?
[1365.98 - 1366.98]  What's the vocabulary?
[1366.98 - 1369.98]  Most people don't have, you know, they just don't found it.
[1369.98 - 1372.42]  But so are the questions that was the story.
[1372.42 - 1373.42]  What's the atmosphere?
[1373.42 - 1374.42]  What's the feeling?
[1374.42 - 1375.42]  What's the color?
[1375.42 - 1377.70]  What's the color of the sky with those two notes?
[1377.70 - 1382.86]  If it was a movie, what would be the scene in the movie allow impressions to be made
[1382.86 - 1387.10]  because we are in the business of creating impressions, creating emotions.
[1387.10 - 1392.14]  So allow those two notes to make an emotional impression on you.
[1392.14 - 1393.86]  So it's an exercise.
[1393.86 - 1396.78]  So I'm asking them to be active in the process of making music.
[1396.78 - 1398.30]  You want to make music?
[1398.30 - 1399.30]  Start now.
[1399.30 - 1404.50]  And this is for grownups, you know, but, but, but I asked that for kids too, you know.
[1404.50 - 1407.86]  So I think that's a very, that's a, that's a, that's so much time.
[1407.86 - 1409.42]  You're going to know being mean.
[1409.42 - 1410.42]  What's the story?
[1410.42 - 1411.42]  What's the story?
[1411.42 - 1412.42]  What's the story?
[1412.42 - 1413.42]  Why?
[1413.42 - 1414.42]  Nothing.
[1414.42 - 1415.42]  Okay.
[1415.42 - 1416.42]  So close your eyes and wait.
[1416.42 - 1417.42]  Oh, yeah.
[1417.42 - 1420.26]  And if you wait, something comes in.
[1420.26 - 1421.26]  Oh, yeah.
[1421.26 - 1422.26]  Make it up.
[1422.26 - 1425.06]  That's so similar to what I say.
[1425.06 - 1426.06]  Make it.
[1427.06 - 1432.42]  I have, I wrote a book called The Great Game, a player's handbook to consciousness.
[1432.42 - 1438.32]  And, and I said, like one of the first lines is that we are the stories we tell ourselves.
[1438.32 - 1441.82]  And you literally just can't disprove that because what would you say?
[1441.82 - 1443.82]  Like, no, that's not true.
[1443.82 - 1445.82]  That's your story, bro.
[1445.82 - 1446.82]  No, I'm just.
[1446.82 - 1447.82]  Wow.
[1447.82 - 1449.30]  I watched TV or the Amner's story.
[1449.30 - 1452.38]  I'm a foxy story because that's what I watch every day.
[1452.38 - 1455.58]  Communities are groups of people that agree on the same story.
[1455.58 - 1457.46]  And then they have values based on that.
[1457.46 - 1458.46]  That's what I mean.
[1458.46 - 1462.46]  It's called norms where we need the big, big time universal consensus.
[1462.46 - 1464.22]  Yeah, we do.
[1464.22 - 1465.22]  Yeah, we do.
[1465.22 - 1467.46]  We need some human, basic human decency.
[1467.46 - 1468.46]  Okay.
[1468.46 - 1474.58]  So, so as you can see, each one of these has a lot of information, but not too much.
[1474.58 - 1479.02]  Each one is section to try to be around 30 seconds of reading.
[1479.02 - 1481.02]  This one's too long.
[1481.02 - 1483.06]  But it's not so long that we need to edit it.
[1483.06 - 1484.06]  It's not bad.
[1484.06 - 1488.94]  You could click on references and it will say where we got this information right here
[1488.94 - 1496.90]  is Robert Flood, 1617, Rosa Crucien Cosmology, depicting God tuning a divine monocor that
[1496.90 - 1499.18]  spans the entire universe.
[1499.18 - 1501.86]  Each planetary sphere is a note.
[1501.86 - 1502.86]  That is a real book.
[1502.86 - 1503.86]  Are the music of this series?
[1503.86 - 1504.86]  That's a real history.
[1504.86 - 1505.86]  Yes.
[1505.86 - 1506.86]  Yes.
[1506.86 - 1507.86]  Harmony of the spheres.
[1507.86 - 1510.10]  Also, it has this extra widget down here.
[1510.10 - 1513.30]  So if you want to play on that guitar.
[1513.30 - 1514.94]  This fret 5.
[1514.94 - 1520.18]  So each fret has all the fret stuff, a vertice scale fret stuff right there.
[1520.18 - 1521.18]  Yeah.
[1521.18 - 1522.18]  Yeah.
[1522.18 - 1523.18]  Yeah.
[1523.18 - 1524.18]  That's pretty cool.
[1524.18 - 1525.54]  Well, I have a really fantastic idea.
[1525.54 - 1529.78]  Did I show you my for fretboard creation?
[1529.78 - 1530.78]  Sound.
[1530.78 - 1531.78]  Anyway.
[1531.78 - 1532.78]  No.
[1532.78 - 1534.34]  The grammar of sound.
[1534.34 - 1538.46]  Is that part of the fifth major?
[1538.46 - 1540.54]  One of the core is Leibniz.
[1540.54 - 1545.42]  Well, Leibniz is a German philosopher.
[1545.42 - 1550.58]  He was like a learner, a dimension, a mathematician, a musician, a philosopher, you know, a strong
[1550.58 - 1552.78]  member, one of those students.
[1552.78 - 1553.78]  Yeah.
[1553.78 - 1554.78]  You ever heard of him?
[1554.78 - 1555.78]  Leibniz.
[1555.78 - 1556.78]  I like the people.
[1556.78 - 1562.42]  And he said, I used to do a quote I cut from a book called The World of the Sound.
[1562.42 - 1565.42]  It's just metaphysics with sound.
[1565.42 - 1568.42]  It's just amazing book.
[1569.42 - 1581.34]  When making music, the soul is involved in computational mathematics, mathematics,
[1581.34 - 1584.58]  arithmetics, of which is not aware.
[1584.58 - 1590.66]  Because if he was aware of this calculation, he would be incapable to spontaneously produce
[1590.66 - 1591.66]  something authentic.
[1591.66 - 1593.94]  That is a really interesting point.
[1593.94 - 1595.74]  Every busy busy busy counting.
[1595.74 - 1596.74]  Yes.
[1597.22 - 1600.70]  And I understand that immediately because I understand cognitive theory and germane
[1600.70 - 1605.90]  loads and how much actual computation the brain can do consciously.
[1605.90 - 1606.90]  Right?
[1606.90 - 1609.10]  Like what math are you consciously aware of?
[1609.10 - 1617.50]  And so if your body and your, if you are naturally doing something well beyond what you can
[1617.50 - 1620.54]  actually measure mentally.
[1620.54 - 1622.14]  So I'd like to see that quote.
[1622.14 - 1624.78]  That quote is very important to me.
[1624.78 - 1626.78]  And also because I really experienced it.
[1626.78 - 1630.30]  You know, like that piece of music that's just kind of like it was complete mess.
[1630.30 - 1632.50]  And then that Roy was like, wow.
[1632.50 - 1636.78]  Well, there's a form of mysticism that talks about the whole universe's sound.
[1636.78 - 1638.42]  And I heard that from the first time.
[1638.42 - 1639.42]  Now that you're not.
[1639.42 - 1640.42]  In Zagguru.
[1640.42 - 1641.42]  Yeah.
[1641.42 - 1642.42]  So there's a lot of yoga in there.
[1642.42 - 1646.62]  Now that you're guys, the yoga of sound and actually I did the meditation once I finished
[1646.62 - 1647.62]  this.
[1647.62 - 1649.02]  Or you can experience the entire universe as sound.
[1649.02 - 1653.46]  And I just like you go inside and you say, and the sound was unbelievable.
[1653.46 - 1655.22]  I could not believe it.
[1655.22 - 1656.22]  Wow.
[1656.22 - 1658.62]  Actually, I have had several dreams.
[1658.62 - 1664.18]  The dreams, the sonic dreams are unbelievably powerful.
[1664.18 - 1665.18]  Yeah.
[1665.18 - 1668.26]  And they really come from a different level.
