[0.00 - 4.50]  Okay, just one two.
[664.24 - 666.24]  And your fantasy can be simple.
[666.24 - 667.24]  Yes.
[667.24 - 668.24]  Right.
[668.24 - 673.68]  So when you address the physical body and what is called the body mind or the subtle
[673.68 - 682.76]  body or the soul or whatever, the emotional seat of your musicianship, it's a real thing
[682.76 - 685.40]  whether you're just starting another.
[685.40 - 694.04]  So part of my spiritual journey and waking up to how I can, if I so choose, be in a
[694.04 - 701.56]  lot more control of my experiences and how I enjoy life or not, that journey has been
[701.56 - 704.00]  about learning simplicity.
[704.00 - 706.80]  So my dad is a pastor.
[706.80 - 709.84]  When I was 11, I memorized the whole book of Acts.
[709.84 - 714.32]  You know, like it was all about what you know and how you can share that in order to get
[714.32 - 716.44]  validation because I had siblings.
[716.44 - 718.52]  There was, you know, sibling rivalry.
[718.52 - 720.40]  We all wanted to get attention from dad.
[720.40 - 725.68]  It was very sparse because he was a workaholic, you know, really married to work literally,
[725.68 - 727.60]  you know, as a pastor.
[727.60 - 737.00]  And so moving away from what you believe is the most important thing in the universe to
[737.00 - 742.60]  the attitude and the heart, you know, and like, where does that belief come from?
[742.60 - 746.00]  Who is dictating authority over my will?
[746.00 - 747.48]  Do I choose to have free will?
[747.48 - 751.88]  Like as Americans, we talk about freedom all the time, but it's not until you choose
[751.88 - 757.92]  to have free will and reparent yourself with discipline so that you can say no to yourself
[757.92 - 759.64]  that you actually experienced that.
[759.64 - 765.40]  And so when you were talking about breaking down the chords, getting things more simple,
[765.40 - 772.28]  it reminded me of my own movement from Christianity to like the Dow Day team, to Alan Watts,
[772.28 - 779.64]  and Buddhism, to just a broader perspective on reality and not disagreeing with my dad
[779.64 - 784.20]  or my mom on their life and their philosophy and their beliefs or their choices, but merely
[784.20 - 788.16]  choosing to be present and to have a different presence.
[788.16 - 795.60]  And I think that's what you're teaching by dynamically mixing up the medium by which
[795.60 - 800.28]  you impact the student, you know, it's not just about playing the guitar.
[800.28 - 801.92]  It's why you play the guitar.
[801.92 - 807.56]  It's how you play the guitar, the heart, body, mind and spirit, all working in harmony to
[807.56 - 808.56]  create the song.
[808.56 - 811.56]  Oh, don't step on the clothes.
[811.56 - 813.20]  Yeah, exactly.
[813.20 - 814.20]  Yeah.
[814.20 - 815.20]  Teddy, come here.
[815.20 - 817.20]  I'll edit this out later.
[817.20 - 818.20]  Sorry.
[818.20 - 819.20]  Sorry.
[819.20 - 820.20]  Teddy.
[820.20 - 825.84]  And I need you to stay in the grass only, and I need you to give us time to talk.
[825.84 - 827.24]  We're going to talk for a little bit.
[827.24 - 829.64]  You need to play in the grass with Bodie.
[829.64 - 830.64]  Okay.
[830.64 - 832.36]  Oh, she's just a little bit better.
[832.36 - 833.36]  Yeah, that's okay too.
[833.36 - 835.28]  Anyway, yeah, yeah.
[835.28 - 838.84]  No, that's actually really broadened.
[838.84 - 845.96]  You just broadened the subject with your own personal experience, and we have actually
[845.96 - 850.40]  similar conclusion.
[850.40 - 855.84]  I'm talking about really pragmatic tools that really do make a difference in the here now.
[855.84 - 863.64]  I don't poo poo, you know, like 3000 years old mythology, you know, and stories about
[863.64 - 866.24]  Zion and no signal.
[866.24 - 867.24]  Right.
[867.24 - 872.44]  And, you know, I'm very, very, very interested in here now and what makes a difference, you
[872.44 - 879.80]  know, if, you know, that's why I studied Chigong, which is kind of part of Zen.
[879.80 - 889.24]  I also had, I just wrote this morning a whole approach, the chemistry, the chemistry of
[889.24 - 894.68]  pain, how to transform your relationship with pain and discomfort.
[894.68 - 899.24]  This is something I don't actually that I don't know, because sometimes playing guitar
[899.24 - 902.24]  is like, you know, it's uncomfortable.
[902.24 - 903.88]  That's the physical approach to it.
[903.88 - 907.88]  And another people to give up because they actually punish themselves on the guitar.
[907.88 - 908.88]  Right.
[908.88 - 913.24]  And then you want to dominate, I want to dominate this guitar, you know, and it's like, and
[913.24 - 915.48]  it's becomes a struggle.
[915.48 - 916.48]  And then you can't hurt yourself.
[916.48 - 918.28]  I actually hurt myself doing that.
[918.28 - 920.08]  I was out of commission for six months.
[920.08 - 926.60]  So that's actually was a deep, deep, deep learning, a catastrophe, you know, which I was kind
[926.60 - 930.88]  of like, so I had to repeat my identity because I said, wait a minute, you are human being
[930.88 - 933.16]  first, you're a guitar player second.
[933.16 - 935.92]  I realized that I was hiding behind this guitar.
[935.92 - 936.92]  Right.
[936.92 - 941.16]  And I had the profound healing spiritual experience.
[941.16 - 945.64]  I flew to France with Dr. Sunnitz on his own, he knew head.
[945.64 - 951.52]  I had burning, I lost the sensation of those two fingers, my forearms are burning like
[951.52 - 953.28]  flames.
[953.28 - 955.12]  And I just did a prayer.
[955.12 - 956.48]  I mean, I just I was desperate.
[956.48 - 960.08]  I was fell asleep crying because I couldn't play.
[960.08 - 966.84]  And I said, I asked for that guidance, you know, and that day that night I had this
[966.84 - 970.12]  incredible dream, it was a lucid dream.
[970.12 - 973.32]  And my consciousness was behind my physical body.
[973.32 - 979.88]  And I could see tattooed on my back clearly the nervous, my nervous system.
[979.88 - 981.48]  And it would extend to the front.
[981.48 - 987.08]  And there was like some big black circle that was supposed to push really hard.
[987.08 - 988.60]  And then I was like, what is this?
[988.60 - 992.48]  You know, I was so upon upon waking up, I had no idea what was.
[992.48 - 995.64]  I start I push exactly another black circle.
[995.64 - 1001.24]  And I went to Cambridge natural food, you know, also because I didn't have health insurance
[1001.24 - 1002.24]  back then.
[1002.24 - 1003.24]  I was in trouble.
[1003.24 - 1004.24]  And I said, what is this?
[1004.24 - 1008.24]  You know, you know, I said, oh, yes, call that group of actually, they didn't mean to
[1008.24 - 1015.64]  a doctor was a Japanese acute pressure with Marxi that relieved half of the symptom.
[1015.64 - 1016.64]  It was really amazing.
[1016.64 - 1020.40]  But then so the next night I felt like relieved.
[1020.40 - 1022.68]  So okay, do I have another thing to learn?
[1022.68 - 1027.48]  And then I had another lucid dream where all the foods that I was eating were just basically
[1027.48 - 1034.32]  strong, thrown on the kitchen floor, the coffee, the salt, the sugar, you know, like the red
[1034.32 - 1035.40]  meat or our stuff.
[1035.40 - 1040.64]  And on the table was clearly displayed things that I should be eating.
[1040.64 - 1041.64]  Right.
[1041.64 - 1047.48]  So I changed my diet and then I did introspection, you know, you know, I had so it was just like
[1047.48 - 1048.80]  rebuilding.
[1048.80 - 1054.64]  So in Ianga Yoga, there's like what's called the niyamas, which is like the philosophical
[1054.64 - 1061.92]  principle of honesty and non-violence.
[1061.92 - 1067.60]  So so for example, I just started teaching is 84 years old.
[1067.60 - 1071.88]  I just started, you know, and it's got crazy battling arthritis.
[1071.88 - 1075.88]  So we need to work with the body.
[1075.88 - 1077.36]  Don't work the body.
[1077.36 - 1081.96]  So you started coaching an 80 year old with arthritis in your heart.
[1081.96 - 1082.96]  Yeah.
[1082.96 - 1083.96]  Yeah.
[1083.96 - 1084.96]  Yeah.
[1084.96 - 1085.96]  Actually, I started like two years ago.
[1085.96 - 1086.96]  It was half death and half thine.
[1086.96 - 1087.96]  Wow.
[1087.96 - 1089.72]  And it was all much older.
[1089.72 - 1091.56]  And so the summer, yes, man.
[1091.56 - 1092.56]  Right.
[1092.56 - 1093.76]  This, this, this got away.
[1093.76 - 1099.76]  We're going to find a way to make some sound and feel those sounds and be happy with that.
[1099.76 - 1105.96]  So so it's like honesty and the path of honesty and non-violence is like really working with
[1105.96 - 1108.56]  me to self where you are at.
[1108.56 - 1112.36]  And that's a process that a lot of people skip.
[1112.36 - 1114.72]  I'm just going to do the guitar.
[1114.72 - 1119.24]  You know, I'm just going to, I'm just going to stop only walking the grass.
[1119.24 - 1120.24]  That's okay.
[1120.24 - 1122.00]  Those are flowers that are coming up.
[1122.00 - 1123.00]  That's okay.
[1123.00 - 1124.00]  Teddy.
[1124.00 - 1125.00]  I don't know what that means.
[1125.00 - 1127.12]  Anyway, only walk in the grass.
[1127.12 - 1129.52]  Only walk in the grass.
[1129.52 - 1130.52]  Okay.
[1130.52 - 1131.52]  Yeah.
[1131.52 - 1135.52]  So it's like, so, so there's, there's like, there's like, there's like, there's like, there's
[1135.52 - 1140.92]  like exercises, no, from you were talking about the Dao and Chigo and Tai Chi really
[1140.92 - 1148.92]  offer exercises that really, truly embody the musical qualities of flow, effortlessness,
[1148.92 - 1152.60]  fluidity, those are musical quality.
[1152.60 - 1155.72]  So you really summarize the music you want here.
[1155.72 - 1156.72]  Right.
[1156.72 - 1157.72]  It goes through it.
[1157.72 - 1162.20]  So, so that instrument that is your body is ready to play the guitar.
[1162.20 - 1163.20]  Right.
[1163.28 - 1170.20]  And from a consciousness studies aspect, when you get into like the germane mode of, of
[1170.20 - 1176.28]  a project, like how much literal energy is my brain going to need for me to perform this
[1176.28 - 1177.64]  activity?
[1177.64 - 1182.16]  And then all the rest of the activities, the brain does on its own, whether you want it
[1182.16 - 1183.36]  to or not.
[1183.36 - 1188.32]  So part of my journey and what I brought up earlier about being able to say no to yourself
[1188.32 - 1193.72]  was learning how to meditate so that I could have quiet space so that I could end
[1193.72 - 1200.40]  up getting into a flow state because all that extra background stuff stopped.
[1200.40 - 1206.72]  And I was able to let myself breathe and have permission to be present.
[1206.72 - 1211.92]  Like we don't give ourselves permission to be present because of our self esteem or because
[1211.92 - 1215.12]  of work or because of story we're telling ourselves.
[1215.12 - 1218.72]  You know, some people would say that it's the ego or the monkey mind.
[1218.72 - 1223.44]  You know, the mind is a drunken monkey bit by a scofio.
[1223.44 - 1224.44]  Yes.
[1224.44 - 1226.44]  That's about this.
[1226.44 - 1230.48]  That does the mind is definitely aggressive at times.
[1230.48 - 1233.32]  Or that you go likes to be in control.
[1233.32 - 1242.00]  So, so, so, so yeah, it's, you know, so it also ties in with, so one aspect of my teaching
[1242.00 - 1243.36]  is I'm a performance coach.
[1243.36 - 1245.00]  I was for 10 years.
[1245.00 - 1254.88]  I was in house resident musician for wild improv comedy dance and singing troupe.
[1254.88 - 1255.88]  Wow.
[1255.88 - 1256.88]  Right.
[1256.88 - 1260.00]  So I had to expand my vocabulary because it's all kind of music.
[1260.00 - 1262.80]  I mean, and the kind of characters you meet in those environments.
[1262.80 - 1263.80]  Oh, yeah.
[1263.80 - 1268.52]  And basically and give them the music that they deserve and that's going to push them.
[1268.52 - 1273.36]  So I had to really greatly expand my vocabulary, which made me a bit better musician.
[1273.36 - 1275.24]  And, and, and I love it.
[1275.24 - 1277.20]  This is one of my superpowers is really empowerment.
[1277.20 - 1282.68]  So here's a ball of fire and just, and, and just do your thing and just blow your mind,
[1282.68 - 1283.68]  you know.
[1283.68 - 1291.28]  So the part of my job was to actually make turn non singers into making up a brand new
[1291.28 - 1295.48]  song out of nowhere in front of a panel audience.
[1295.48 - 1296.48]  Wow.
[1296.60 - 1298.52]  That does sound like a lot of fun.
[1298.52 - 1299.52]  Yeah.
[1299.52 - 1305.56]  And then, and the thing is like you, you can only grow those wings if you jump off the cliff.
[1305.56 - 1306.56]  Yes.
[1306.56 - 1309.32]  That's one of the things you only learn by doing.
[1309.32 - 1312.00]  And there's a life that you only learn by doing.
[1312.00 - 1317.04]  And, and that's a lot of what we do as educators is we only create the scaffolding.
[1317.04 - 1322.52]  Like you create the sandbox, you create the environment, but the student has to of their
[1322.52 - 1325.48]  own will go through that and learn.
[1325.48 - 1327.08]  They have their journey, right?
[1327.08 - 1328.64]  That they have to take.
[1328.64 - 1333.36]  And so that's one of the reasons why we set the curriculum, the way we did is to display
[1333.36 - 1339.80]  that, you know, the hero's journey, the self as the, the song.
[1339.80 - 1341.72]  I thought that was pretty fun.
[1341.72 - 1344.96]  Let me get back to that second topic, the adult learner burden.
[1344.96 - 1351.00]  You talked about how some of your adult learners are older, have arthritis, learning conditions,
[1351.00 - 1353.20]  site impairments.
[1353.20 - 1357.08]  Most of your students are adults who tried guitar before and quit.
[1357.08 - 1359.60]  Why do traditional methods fail them?
[1359.60 - 1364.44]  And how does slow web design of our website?
[1364.44 - 1366.68]  How does that help them?
[1366.68 - 1371.28]  I think traditional, traditional learning is very mechanical.
[1371.28 - 1372.76]  It's not psychological.
[1372.76 - 1378.20]  It fails to identify and dismantle negative beliefs.
[1378.20 - 1379.20]  Right.
[1379.20 - 1380.56]  So there's a bit of sports coaching.
[1380.56 - 1383.08]  I love reading books about sports coaching.
[1383.08 - 1384.84]  If you think you can't, you're right.
[1384.84 - 1386.84]  If you think you can, you're also right.
[1386.84 - 1391.32]  I think to quote Yoda, do or do not, there is no try.
[1391.32 - 1392.32]  That's Yoda.
[1392.32 - 1393.32]  Yoda from Star Wars.
[1393.32 - 1394.32]  Oh, great.
[1394.32 - 1395.32]  Great.
[1395.32 - 1396.32]  I played football in high school.
[1396.32 - 1397.52]  I played football in the Marine Corps.
[1397.52 - 1401.52]  I've been an athlete and a sportsman my whole life.
[1401.52 - 1402.60]  I don't watch sports.
[1402.60 - 1403.60]  I will play sports.
[1403.60 - 1407.16]  I don't need to live vicariously.
[1407.16 - 1410.56]  But you're absolutely right when it comes to coaching.
[1410.56 - 1412.28]  It's almost like reparancing.
[1412.28 - 1414.32]  You have to decide of your own will.
[1414.32 - 1415.96]  I'm making this choice.
[1415.96 - 1419.36]  I'm doing this thing and I am becoming in this way.
[1419.36 - 1420.92]  I'm growing in this way.
[1420.92 - 1421.92]  Right.
[1421.92 - 1423.88]  And there's also, use Yoda in the coach.
[1423.88 - 1427.68]  I mean, this is the story of Michael Jordan, became Michael Jordan, when you spend less
[1427.68 - 1429.84]  time on the court and more time editing.
[1429.84 - 1430.84]  Yes.
[1430.84 - 1436.68]  You started visually using his mirror neurons and creating those brand new moves in his
[1436.68 - 1441.12]  mind that would occasionally pop in the courts spontaneously.
[1441.12 - 1442.12]  Right.
[1442.12 - 1448.04]  You know, so there was a dramatic improvement by him really changing his self-talk.
[1448.04 - 1452.60]  And his basically was practicing in the court.
[1452.60 - 1457.12]  So if for guitar it's actually very difficult because we're not taught to imagine music
[1457.12 - 1458.12]  and imagine sound.
[1458.12 - 1461.60]  We actually, it's all image, the word imagine.
[1461.60 - 1466.60]  We need a new word, audio-wise.
[1466.60 - 1472.16]  If you close your eyes and you can, Michael Jordan could see himself feeling the moves
[1472.16 - 1474.92]  and really, really get into it.
[1474.92 - 1483.54]  But it's more difficult to imagine music, which is actually why I have developed this
[1483.54 - 1486.68]  ear training for guitarists.
[1486.68 - 1492.36]  And there's a very special step in that protocol that I don't see anybody do.
[1492.36 - 1495.12]  And it's very simple.
[1495.12 - 1499.04]  Ear training, you play a song and it's very easy to gamify.
[1499.04 - 1503.76]  You play a song and maybe the app can play and visualize the note on a guitar.
[1503.76 - 1506.96]  You listen to it and you close your eyes and you remember it.
[1506.96 - 1511.32]  You replay it in the third ear or the inner ear.
[1511.32 - 1512.32]  Okay.
[1512.32 - 1519.12]  So you sing what you remember and then you double check and then you congratulate yourself
[1519.12 - 1520.96]  because you son and pitch.
[1520.96 - 1525.20]  And I've seen you all on tone death.
[1525.20 - 1531.64]  When you do that protocol, they actually realize they can't sing on pitch because there's this
[1531.64 - 1538.48]  missing link of push replay.
[1538.48 - 1543.80]  And this is one of the reasons, so this is actually I would love to do an ear training
[1543.80 - 1544.80]  app with that.
[1544.80 - 1545.80]  Yeah.
[1545.80 - 1549.24]  So you would have a visualization on the guitar like so people would learn the placement of
[1549.24 - 1550.24]  notes.
[1550.24 - 1551.24]  Yeah.
[1551.24 - 1552.24]  But it's mainly a.
[1552.24 - 1553.52]  Well, I did work something like that in.
[1553.52 - 1559.36]  So it's just like that where you have to sing and it has a bar to show you whether it's
[1559.36 - 1560.36]  right or not.
[1560.36 - 1561.60]  And it has the letters.
[1561.60 - 1564.40]  I can add in the shapes and colors to that.
[1564.40 - 1570.64]  But we have a singing measurement and it's tied to a choose your own adventure from an
[1570.64 - 1577.28]  1150 AD French troubadour story.
[1577.28 - 1582.96]  And so you have to sing your part in a venture to learn how to sing and it measures it.
[1582.96 - 1585.32]  So we did have that entered in.
[1585.32 - 1586.32]  That's at the top.
[1586.32 - 1588.08]  It's just not fully worked out yet.
[1588.08 - 1590.56]  Like I haven't finished it.
[1590.64 - 1597.04]  I thought that was pretty cool for training your voice by using story and history, you
[1597.04 - 1601.20]  know, like being able to sing along with a troubadour.
[1601.20 - 1602.20]  That's great.
[1602.20 - 1603.20]  I love it.
[1603.20 - 1604.20]  Oh.
[1604.20 - 1610.20]  But I have a beautiful, I don't know if I showed you my guitar scientist app.
[1610.20 - 1613.40]  I have a beautiful app that creates beautiful guitar necks.
[1613.40 - 1614.40]  No.
[1614.40 - 1616.04]  With fingerboards with all color color.
[1616.04 - 1617.04]  I can.
[1617.04 - 1618.04]  Oh, no.
[1618.04 - 1619.04]  Oh, no.
[1619.04 - 1620.04]  That's dangerous.
[1620.04 - 1621.04]  Sit down.
[1621.04 - 1622.04]  Let's focus.
[1622.04 - 1623.04]  Yeah.
[1623.04 - 1624.04]  All done throwing stuff.
[1624.04 - 1625.04]  Hey, say sorry.
[1625.04 - 1626.04]  All done.
[1626.04 - 1633.28]  Just take a break.
[1633.28 - 1645.80]  So, you know, this is, this is basically I have all colors, all kind of colors and shapes.
[1645.80 - 1651.60]  I get stars and squares and, you know, I can have a whole bunch of these very easily
[1651.60 - 1655.28]  and immeasurable and it's beautiful and I've been using that for decades.
[1655.28 - 1657.56]  And this is also part of an international community.
[1657.56 - 1659.32]  So a lot of people like my diagrams.
[1659.32 - 1662.32]  I can add that into the web app that you buy.
[1662.32 - 1663.32]  That'll let them.
[1663.32 - 1664.32]  Yeah.
[1664.32 - 1665.76]  That's very cool and fun to play with.
[1665.76 - 1666.76]  Yeah.
[1666.76 - 1667.76]  Yeah.
[1667.76 - 1668.76]  No, it's really, really, really great.
[1668.76 - 1673.32]  So it's color coded and I have my own legend that I've been using.
[1673.32 - 1674.32]  Okay.
[1675.32 - 1685.40]  So a dark learner, traditional method, where they're very linear also through traditional
[1685.40 - 1686.56]  method.
